Agostinho,['Angra do Heroismo']
Angot,['Paris']
Askinazy,['Leningrad']
Azzi,['Rome']
Bamford,['Colombo']
Barloti,['Riga']
Bates,['Wellington']
Berce,['Gembloux']
Bergeiro,['Montevideo']
Berloty,['Ksara']
Berényi,['Debrecen']
Birkeland,['Oslo']
Braak,['de Bilt']
Brounov,['Petrograd']
Bureau,['Paris']
Carton,['Hanoi']
Chaptal,['Montpellier']
Connor,['Toronto']
Delcambre,['Paris']
Dongier,['Paris']
Dop,['Rome']
Duckert,['Berlin']
Engler,['Zurich']
Eredia,['Rome']
Ferraz,['Rio de Janeiro']
Figuereido,['Lisbon']
Fisher,['Harpenden']
Fleischmann,['Kompolt']
Fontseré i Riba,['Barcelona']
Galbis,['Madrid']
Geiger,['Munich']
Geslin,['Versailles']
Girola,['Buenos Aires']
Godard,['Versaillles']
Gomes,['Lisbon']
Gumiński,['Warsaw']
Hagem,['Bergen']
Hansen,['Copenhagen']
Hartman,['de Bilt']
Hesselberg,['Christiania']
Hiltner,['Munich']
Hirata,['Tokyo']
Holdefleiss,['Halle']
Hooker,['London']
Hubert,['Paris']
Keen,['Harpenden']
Keränen,['Helsinki']
Kessler,['Trier']
Kincer,['Washington']
Kiroff,['Sofia']
Knoch,['Berlin']
Koloskov,['Vladivostock']
Korhonen,['Helsinki']
Koschmieder,['Lindenberg']
La Cour,['Copenhagen']
Lugeon,['Warsaw']
Mariolopulos,['Thessaloniki']
Mathias,['Clermont-Ferrand']
Melander,['Helsinki']
Mercanton,['Lausanne']
Meseguer y Marin,['Madrid']
Nagle,['Dublin']
Normand,['Poona']
Nuño,['Santiago de Chile']
Okada,['Tokyo']
Patterson,['Toronto']
Proudhomme,['Nogent-sur-Marne']
Ramdas,['Poona']
Rey,['Paris']
Ryder,['Copenhagen']
Réthly,['Budapest']
Sabucedo del Arenal,['Madrid']
Sanson,['Paris']
Schedler,['Vienna']
Schindler,['Casablanca']
Schmidt,['Vienna']
Schubert,['Eberswalde']
Schönrock,['Leningrad']
Shaw,['London']
Shutt,['Ottawa']
Simpson,['London']
Smith,['Washington']
Sophoterow,['Kiev']
Stewart,['Pretoria']
Taylor,['Melbourne']
Wallén,['Stockholm']
Walter,['Nairobi']
Wehrlé,['Paris']
Wery,['Paris']
Westerdijk,['Baarn']
Whipple,['London']
van Everdingen,['De Bilt']
van Gulik,['Wageningen']
Åkerman,['Svalöf']
Ångstrøm,['Stockholm']
